Country,Measure Reference,Measure Name,Measure Description,Investment/Reform,Milestone/Target Reference,Milestone/Target Name,Milestone/Target Description,Milestone or Target,Loans/Grants,Completion Year-Quarter,Qualitative Indicator,Unit of Measure,Baseline,Goal,Measure CSR Reference List,Status,Instalment Nr,Disbursement Date,Policy Pillars / REPowerEU
Romania,RO-C[C8]-I[I11.0],Equity injection into the National Development Bank,"This measure aims at supporting the growth potential of the Romanian economy by structurally adjusting the level of public support available to address market failures and inefficiencies within the economy. The measure shall consist of an equity injection of EUR 100 million into the National Development Bank. 
The National Development Bank shall adopt a new investment policy for the use of the additional equity. The investment policy shall include the description of the financial product(s) with the expected type of eligible final beneficiaries that the additional equity is expected to initially support, including the expected timeline for the implementation and expected amount of each financial product. The National Development Bank shall use for the additional equity the same audit and control system that was positively assessed by the Commission in accordance with Article 157 of Regulation (EU, Euratom) 2024/2509. The Investment Policy shall require that financial product(s) that the additional equity supports comply with the ‘Do no significant harm’ (DNSH) principle as set out in the DNSH Technical Guidance (2021/C58/01). In particular, the investment policy shall exclude the following list of activities and assets from eligibility: (i) activities and assets related to fossil fuels, including downstream use , (ii) activities and assets under the EU Emission Trading System (ETS) achieving projected greenhouse gas emissions that are not lower than the relevant benchmarks , (iii) activities and assets related to waste landfills, incinerators  and mechanical biological treatment plants . Furthermore, in the case of general support to corporates, the investment policy shall exclude companies with a substantial focus  in the following sectors: (i) fossil fuel-based energy production and related activities ; (ii) energy-intensive and/or high CO2-emitting industries ; (iii) production, rental, or sale of polluting vehicles ; (iv) waste collection, waste treatment and disposal , (v) processing of nuclear fuel, production of nuclear energy. Moreover, the investment policy shall require compliance with the relevant EU and national environmental legislation of the final beneficiaries. 
The satisfactory fulfilment of milestones under this measure is subject to the satisfactory fulfilment of the milestone 210 of reform 5 - Establishment of the National Development Bank. 
",Investment,RO-C[C8]-I[I11.0]-M[240b],Equity injection,"Romania shall transfer EUR 100 million to the National Development Bank to increase its equity. Beyond the equity injection into the National Development Bank which constitutes the RRF investment, Romania shall transmit a report outlining the actions taken by the National Development Bank by 31 August 2026 to implement the investment policy, including the steps taken for the implementation of the financial products that the additional equity is expected to initially support, as well as the expected steps to be taken for further implementing those products. including the steps taken for the implementation of the financial products that the additional equity is expected to initially support, as well as the expected steps to be taken for further implementing those products.",milestone,Loans,2026-Q2,Certificate of transfer,-,-,-,-,Not Assessed,4,-,-
Romania,RO-C[C9]-R[R2.a],"Streamline governance of research, development and innovation","The objective of this reform is to streamline the governance of the research, development and innovation system in Romania. 
The reform consists in the adoption of legal act(s) to streamline the governance and management of research, development and innovation policies.
This measure complements reform 2 - Streamline governance of research, development and innovation.
",Reform,RO-C[C9]-R[R2.a]-T[271],Share of recommendations in Policy Support Facility Romania Country Report adopted,Romania shall implement recommendations detailed in the Policy Support Facility Romania Country Report.,target,Grants,2026-Q2,-,% (Percentage),0,80,-,Not Assessed,6,-,-
Romania,RO-C[C9]-R[R2.a],"Streamline governance of research, development and innovation","The objective of this reform is to streamline the governance of the research, development and innovation system in Romania. 
The reform consists in the adoption of legal act(s) to streamline the governance and management of research, development and innovation policies.
This measure complements reform 2 - Streamline governance of research, development and innovation.
",Reform,RO-C[C9]-R[R2.a]-M[272],"Establishment of a permanent system to design, implement, monitor and evaluate  RDI  policy","Romania shall establish a permanent system that ensures the harmonised design and implementation, monitor and evaluation of research, development and innovation policy across ministries and agencies beyond the RRF timeline, based on Policy Support Facility Romania Country Report recommendations 2021-2022.",milestone,Grants,2026-Q2,"Legal act(s) establishing a permanent system that designs, implements, monitors and evaluates RDI policy",-,-,-,-,Not Assessed,6,-,-
Romania,RO-C[C9]-R[R2.a],"Streamline governance of research, development and innovation","The objective of this reform is to streamline the governance of the research, development and innovation system in Romania. 
The reform consists in the adoption of legal act(s) to streamline the governance and management of research, development and innovation policies.
This measure complements reform 2 - Streamline governance of research, development and innovation.
",Reform,RO-C[C9]-R[R2.a]-M[273],"Entry into force of legal act(s) establishing a single body that encompasses the existing councils, ensures inter-ministerial coordination and reaches out to the private sector","Legal act(s) modifications to createa new body with a decisional role focused onRDI and smart specialization policies, at the governmental level with the involvement of responsible ministries. 
This body shall cover the coordination of RDI activities (research driven innovation and entrepreneurship included) at the national level. The secretariat of this body shall be assured by National Research Authority. 
",milestone,Grants,2023-Q2,Legal act(s) for the establishment of the single body,-,-,-,-,Not Assessed,4,-,-
Romania,RO-C[C9]-I[I2.2a],Financial instruments for the private sector - Climate Action Portfolio Guarantee,"The objective of this sub-investment is to deliver finance and investments to SMEs (up to 249 employees), companies with up to 500 employees, and individuals through working capital, credit lines, investment loans, or leasing, aimed at investments and finance for energy efficiency increases in enterprises and the residential and buildings sector. The purpose of the instrument shall be to address Romania’s current challenges in supporting investments in the energy efficiency and renewable energy sectors. The sub-investment shall take the form of a portfolio guarantee, to be implemented as a contribution to InvestEU by the European Investment Fund (“EIF”). The specific goals and energy efficiency ambitions of the instrument, as well as structure and eligibility criteria shall be fully aligned and correspond to the ones of the InvestEU EU-Compartment instrument, currently under development. 
In order to ensure that the sub-investment complies with the ‘Do no significant harm’ Technical Guidance (2021/C58/01), the contribution agreement between the European Commission and the Romanian Government shall require the application of the Commission’s technical guidance on sustainability proofing for the InvestEU Fund. The guarantee agreement between the European Commission and the EIF shall in addition exclude the following list of activities and assets from eligibility: (i) activities and assets related to fossil fuels, including downstream use  and (ii) activities and assets under the EU Emission Trading System (ETS) achieving projected greenhouse gas emissions that are not lower than the relevant benchmarks. 
This measure complements sub-investment 2.2. Climate Action Portfolio Guarantee
",Investment,RO-C[C9]-I[I2.2a]-T[252],Finance or investment operations amounting to 100% of the total amount of resources allocated to the instrument approved by the InvestEU Investment Committee,Finance or investment operations amounting to 100% of the total amount of resources allocated to the instrument approved by the InvestEU Investment Committee,target,Grants,2024-Q2,-,% (Percentage),0,100,-,Not Assessed,4,-,-
Romania,RO-C[C9]-I[I3.a],Private sector aid schemes - Aid scheme for the digitalisation of SMEs,"The objective of this sub-investment is to support small and medium sized enterprises (SMEs) digitalisation. 
The sub-investment consists in two instruments: i) a grant scheme to support entrepreneurs in development of advanced digital technologies ii) a grant scheme of up to EUR 100 000 per enterprise to support SMEs adopting digital technologies
This measure complements sub-investment 3.1. Aid scheme for the digitalisation of SMEs
",Investment,RO-C[C9]-I[I3.a]-T[263],Number of financing contracts signed,Financing contracts signed with enterprises to support the uptake of digital technologies/solutions and the digital transformation of the business processes.,target,Grants,2025-Q4,-,Number,0,4611,-,Not Assessed,4,-,-
Romania,RO-C[C9]-I[I5.a],Establishment of Centres of Competence,"The objective of the investment is to tackle the thematic fragmentation of research, development and innovation organizations. 
The investment consists in the establishment of five “Centres of Competence” to carry out research activities. 
This measure complements investment 5 - Establishment and operationalisation of Centres of Competence.
",Investment,RO-C[C9]-I[I5.a]-T[281],Budget attracted from private sector RDI projects,"EUR 1.25 million shall be attracted from the private sector to co-finance research, development and innovation activities through competence centres.",target,Grants,2026-Q1,-,Million EUR,0,1.25,-,Not Assessed,5,-,-
Romania,RO-C[C10]-I[I3.a],Renovation of public buildings to support better public service delivery by administrative territorial units,"The objective of this investment is to support the delivery of local public services. 
This measure finances renovation of public buildings in towns and communes which are intended for the provision of public services to citizens (for example,  town hall buildings, social services buildings). 
This measure complements Investment 3: Renovation of public buildings to support better public service delivery by administrative territorial units.
",Investment,RO-C[C10]-I[I3.a]-T[322a],Energy renovation of public buildings,Works completion reception certificates that cover the total renovated area and energy performance certificates confirming a 30% reduction in primary energy demand at building level.,target,Grants,2026-Q2,-,Number of sqm,0,551036.48,-,Not Assessed,6,-,-
Romania,RO-C[C11]-R[R3.a],Reforming the funding system for the cultural sector,"The objective of this reform  is to establish the legal and administrative framework for cultural workers
This measures consists in the adoption of legal acts on the funding system for cultural projects and the support to workers in cultural sectors.
This measure complements sub-reform Reform 3.: Reforming the funding system for the cultural sector.
",Reform,RO-C[C11]-R[R3.a]-M[345],Entry into force of the legal acts on the legal framework applicable to  cultural workers,"Legal acts  shall enter into force  on the legal framework applicable to cultural workers, which shall:
-	define employment in  'artistic work' and 'cultural work';
-	set out standards for employment, taxation, and social security, ensuring commensurate remuneration and access to benefits (for example,  unemployment and health protection);
-	 set out provisions for identifying freelancer cultural artists and their access to social protection systems. 
",milestone,Grants,2025-Q1,Provision in the legal acts indicating the entry into force of the legal framework for the statute of the cultural workers,-,-,-,-,Not Assessed,4,-,-
Romania,RO-C[C15]-I[I1.a.],Construction and equipping of crèches,"The objective of this investment is to increase the capacity of the early-childhood education system by constructing crèches. 
The investment consists in the construction and equipping of crèches. 
This measure complements investment 1 in the non-repayable financial support compartment.

",Investment,RO-C[C15]-I[I1.a.]-T[457a],Built and equipped  crèches,Works completion reception certificates and certificates of delivery of equipment demonstrating that 30 crèches have been constructed and equipped.,target,Loans,2026-Q2,-,Number,0,30,-,Not Assessed,4,-,-
Romania,RO-C[C15]-I[I10.a],Green-schools network construction,"The objective of this investment is to ensure the sustainability of pre-university schools through the transition to green schools. 
The investment consists in building sustainable, environmentally-friendly schools. 
This measure complements investment 10 in the  non-repayable financial support compartment.
",Investment,RO-C[C15]-I[I10.a]-T[488],New Green School area built,"Works completion reception certificates shall confirm that  green schools with a total surface of at least 32 764 m2 have been built.
Newly constructed green schools shall comply with the objective of achieving a primary energy demand (PED) at least 20% lower than the NZEB requirement according to national guidelines, which shall be demonstrated through energy performance certificates. 
",target,Loans,2026-Q3,-,Number (m2),0,32764,-,Not Assessed,4,-,-
Romania,RO-C[C15]-I[I16.a],Digitalisation of universities and their preparation for the digital professions of the future,"The objective of this investment is to increase digital infrastructure and the digital competences of students and university teaching staff. 
This measure complements investment 16 in the loan compartment.",Investment,RO-C[C15]-I[I16.a]-T[502],Universities supported,Acceptance certificates shall prove the  delivery of digital infrastucture for 60 universities. Certificates of participation in the program for improving digital skills and a centralized list of participants shall prove the delivery of investments in digital skills of members of the academic community.,target,Grants,2026-Q1,-,Number,0,60,-,Not Assessed,5,-,-
Romania,RO-C[C16]-I[I4.a],Grant Voucher Scheme to accelerate the deployment rollout of renewable energy sources by households,"This investment aims to increase the rollout of renewable energy by providing homeowners with financial support.
The investment consists in the distribution of vouchers for the installation of new solar panels systems or electricity storage systems.",Investment,RO-C[C16]-I[I4.a]-T[516a],Installation of solar panels and electricity storage systems by households,Disbursement of vouchers shall be evidenced per household by acceptance certificates confirming the installation of solar panels (with a net capacity of at least 3 kW) and/or electricity storage systems (with a usable capacity of at least 5 kWh). Standalone electricity storage systems shall be eligible for support only where the homeowner already owns a solar PV system with a net capacity of at least 3 kW.,target,Loans,2026-Q2,-,Number of vouchers,0,61000,-,Not Assessed,4,-,-
Romania,RO-C[C16]-I[I8.0],Contracts for Difference allocation,"The objective of this investment is the support of the deployment of onshore wind capacities thorugh a Contracts for Difference (CfD) allocation round. 
This investment consists in the signature of CfDs with the successful project developers (final beneficiaries).",Investment,RO-C[C16]-I[I8.0]-M[535],Signature of CfDs for renewble electricty generation projects,"Signed CfD contracts for renewable electricity generation projects amounting to EUR 350,088,169 for onshore wind installations.",milestone,Grants,2026-Q1,Signature of CfDs,-,-,-,-,Not Assessed,5,-,-
Romania,Romania.0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Slovakia,SK-C[C1]-R[R1],Adapting of the electricity legal framework,"The purpose of the reform is to improve the legal framework of the Slovak electricity market by amending Act 251/2012 Coll. on energy and Act 250/2012 Coll. on regulation in network industries in accordance with the requirements of Directive 2019/944. Furthermore, the adapted legal structure shall facilitate the new activities and access of participants to the electricity market (energy communities, aggregator, self-consumer, electricity storage), while increasing overall flexibility of electricity system and improving the possibilities for connecting of new renewables to the Slovak grid.
This reform also foresees (under Milestone 2) a measure aiming at releasing the technical capacities for electricity transmission within the domestic electricity system, facilitated through the increase in capacity of the electricity interconnection profile between Slovakia and Hungary.
The implementation of the reform shall be completed by 31 December 2022.",Reform,SK-C[C1]-R[R1]-M[C1.1],Reform of electricity market,"The legal framework shall be modified by amending Act 251/2012 Coll. on energy and Act 250/2012 Coll. on regulation in network industries to transpose the Directive 2019/944. Furthermore, the updated legal framework shall facilitate the new activities and access of participants to the electricity market (energy communities, aggregator, self-consumer, electricity storage), while increasing overall flexibility of the electricity system and improving the possibilities for connecting of new renewable sources to the Slovak grid.",milestone,Grants,2022-Q4,Entry into force of legislative  amendments  to the Act on energy and Act on regulation in network industries,-,-,-,2020.CSR3; 2022.CSR3; 2023.CSR3,Fulfilled,3,12/28/2023,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Slovakia,SK-C[C1]-R[R1],Adapting of the electricity legal framework,"The purpose of the reform is to improve the legal framework of the Slovak electricity market by amending Act 251/2012 Coll. on energy and Act 250/2012 Coll. on regulation in network industries in accordance with the requirements of Directive 2019/944. Furthermore, the adapted legal structure shall facilitate the new activities and access of participants to the electricity market (energy communities, aggregator, self-consumer, electricity storage), while increasing overall flexibility of electricity system and improving the possibilities for connecting of new renewables to the Slovak grid.
This reform also foresees (under Milestone 2) a measure aiming at releasing the technical capacities for electricity transmission within the domestic electricity system, facilitated through the increase in capacity of the electricity interconnection profile between Slovakia and Hungary.
The implementation of the reform shall be completed by 31 December 2022.",Reform,SK-C[C1]-R[R1]-M[C1.2],Release of restrictions on technical capacities for electricity transmission within the Slovak electricity system,"The Slovak Ministry of Economy and the Slovak electricity transmission system operator Slovenská elektrizačná prenosová sústava, a.s. shall declare the release of restrictions on technical capacities for electricity transmission within the Slovak electricity system and an increase of capacity for connecting renewable sources to the grid. The measure shall be facilitated through the increase in net transfer capacity of transmission interconnections with the Republic of Hungary.",milestone,Grants,2021-Q2,"Joint public declaration by   the Ministry of Economy and the Slovak transmission system operator Slovenská elektrizačná prenosová sústava, a.s.",-,-,-,2020.CSR3; 2022.CSR3; 2023.CSR3,Fulfilled,1,07/29/2022,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Slovakia,SK-C[C1]-R[R2],The legal framework for the promotion of renewable energy sources,"The purpose of the reform is to promote the roll-out of new renewable energy sources. The new law amendments shall create efficient support mechanisms for increasing the share of renewables in transport, electricity and heating sector. The legal framework shall be modified by amending the Acts 309/2009 Coll. on promotion of renewable energy sources and high-efficiency cogeneration and the Act 657/2004 Coll. on thermal energy.
The reform shall also include the adoption of a long-term auctioning plan for new renewable sources. This measure shall contribute to better predictability of the overall installed renewable capacity, creating more favourable investment environment for private investors.
Furthermore, the reform shall incorporate the adoption of investment schemes for support of the renewable electricity sources. The Ministry of Economy shall adopt an auction scheme for new renewable energy sources (link to Investment 1, Component 1) and support schemes for investments on repowering (link to Investment 2, Component 1) and increasing flexibility of the electricity system (link to Investment 3, Component 1). The investment policies of the schemes shall strictly adhere to both EU and national environmental legislation as well as to the Do-Not- Significant-Harm Technical Guidance (2021/C58/01) of supported activities and companies. Only investments into hydropower that are in line with the EU acquis shall be supported by the Slovak recovery and resilience plan.
The implementation of reform shall be completed by 31 December 2022.
The implementation of the investment is expected to start by 30 June 2021 and shall be completed by 30 June 2026.
The implementation of the investment is expected to start by 1 January 2022 and shall be completed by 30 June 2026.
The implementation of the investment is expected to start by 1 January 2022 and shall be completed by 30 June 2026.",Reform,SK-C[C1]-R[R2]-M[C1.3],Framework for supporting the  investments into new renewable sources,"The legislative amendments shall create support mechanisms for increasing the share of renewable energy sources in transport, electricity and heating sector. The legal framework shall be modified by amending the Acts 309/2009 Coll. on promotion of renewable energy sources and high-efficiency cogeneration and the Act 657/2004 Coll. on thermal energy. 

The Ministry of Economy shall adopt a long-term auctioning plan for new renewable sources, contributing to better predictability of the increase in capacity of new renewable capacity. 
  
The Ministry of Economy shall adopt the new auction scheme for new sources of electricity from renewable energy sources (defined in Investment 1), the support schemes to investments on repowering (defined in Investment 2) and increasing flexibility of the electricity system (defined in Investment 3). The schemes shall detail the eligibility criteria for supported companies, ensuring compliance with the EU and national environmental acquis as well as the DNSH Technical Guidance (2021/C58/01) of supported activities and/or companies, while increasing the new RES capacities as detailed in corresponding targets (for Investments 1, 2 and 3). The biomass projects shall result in upgrades of 
biogas stations achieving at least 80% GHG
emissions savings in relation to the greenhouse gas 
saving methodology and comparator set in Annex 
VI to Directive (EU) 2018/2001, in line with the 
conditions resulting from Commission Delegated 
Regulation (EU) 2021/2139. In the event of 
transformation into instalations producing 
biomethane, greenhouse gas emmission savings shall amount to at least 70% in relation to the greenhouse gas saving methodology and fossil fuel comparator set out in Annex VI to that Directive.
- Biomass and biomethane projects shall be sustainable in line with the Renewable Energy Directive 2018/2001/EU (REDII)
Only investments into hydro-power that are in line with the EU acquis shall be supported.",milestone,Grants,2022-Q4,"Entry into force of legislative  amendments  to the Act on the promotion of renewable energy sources and high-efficiency cogeneration and to the Act on thermal energy. 

Adoption of a long-term auctioning plan by the Ministry of Economy   

Adoption of investment schemes by the  Ministry of Economy for the promotion
of new sources of electricity from renewable energy sources (defined in Investment 1),  investments to  repowering (defined in Investment 2)  and investments  increasing flexibility of the electricity system 
(defined in Investment 3)",-,-,-,2020.CSR3; 2022.CSR3; 2023.CSR3,Fulfilled,3,12/28/2023,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Slovakia,SK-C[C1]-I[I1],Construction of new renewable electricity sources,"The objective of this measure is to support the roll out of investments into new renewable sources of electricity. This measure follows upon the creation of a support scheme under the reform 2.  

This measure consists in the delivery of new generating capacity induced by new renewable energy sources connected to the grid.",Investment,SK-C[C1]-I[I1]-T[C1.4],New renewable energy source capacity,"At least 120 MW in new renewable electricity sources capacity shall be connected to the grid under the measure’s support scheme. A copy of the functional test of the new electricity source (indicating installed capacity in MW and type of the renewable energy source) and of the distribution system connection agreement.  

The support scheme shall take the form of auctions for investment support for new sources of electricity from renewable energy sources, except for hydropower.",target,Grants,2026-Q2,-,MW,0,120,2020.CSR3; 2022.CSR3; 2023.CSR3,Not Assessed,9,-,-
Slovakia,SK-C[C1]-I[I2],Modernising the existing renewable energy sources (repowering),"The objective of this measure is to extend the technological lifetime, upgrade and increase the efficiency of existing renewable energy source capacities (repowering). This measure follows upon the creation of a support scheme under the reform 2.  

This measure consists of refurbishing biogas stations, transforming biogas-based electricity generation facilities into biomethane plants, and hydropower generation facilities.",Investment,SK-C[C1]-I[I2]-T[C1.5],Reconstructed renewable energy source capacity,At least 70 MW of modernised capacity (repowering) for renewable electricity generation or biomethane production shall be connected to the grids.,target,Grants,2026-Q2,-,MW,0,70,2020.CSR3; 2022.CSR3; 2023.CSR3,Not Assessed,9,-,-
Slovakia,SK-C[C1]-I[I3],Increasing the flexibility of electricity systems for greater integration of renewables,"The objective of this measure is to increase the flexibility of the Slovak electricity network. This measure follows upon the creation of a support scheme under the reform 2. 

This measure consists of supporting electricity storage facilities and increasing the electricity balancing capacity in hydropower plants.",Investment,SK-C[C1]-I[I3]-T[C1.6],Cumulative increase in capacity of installations increasing the flexibility of energy systems,"Installations supported by the scheme shall enter into operation, resulting in at least a 96,7 MW increase of electricity storage capacities. 

Supported technologies shall include new battery systems or electrolysis, or an increase in the balancing capacity of the hydropower plants. Investment support into the balancing capacity of the hydropower plants shall not exceed EUR 12 000 000 under the measure.",target,Grants,2026-Q2,-,MW,0,96.7,2020.CSR3; 2022.CSR3; 2023.CSR3,Not Assessed,9,-,-
Slovakia,SK-C[C2]-R[R1],The harmonisation of support mechanisms for the renovation of family houses,"The objective of the reform is to map, align and bring together different support schemes, to uniform and streamline the renovation process, and to provide incentives to owners for implementing a wider range of renovation measures. Design of the support schemes, criteria and conditions as well as implementation steps shall be outlined in the implementation plan to be published by Slovak Environmental Agency by 30 September 2022. To ensure effective and timely implementation, capacities of the Slovak Environmental Agency shall be strengthened. In the implementation phase, house owners shall be reached out to through a communication campaign and to-be-established regional offices as well as by providing a technical assistance and consultation.
The implementation of the reform shall be completed by 30 September 2022.",Reform,SK-C[C2]-R[R1]-M[C2.1],Implementation plan to mobilize green renovation of family houses,"The implementation plan shall map different support schemes and harmonise them. It shall detail preparation for the start-up of the scheme, timetable and its administration as well as the monitoring of the reconstruction and verification of energy savings primarily by energy performance certificates, or other corresponding documents.",milestone,Grants,2022-Q3,Adoption of the implementation plan by the Ministry of Environment,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR3; 2023.CSR3,Fulfilled,3,12/28/2023,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Slovakia,SK-C[C2]-R[R2],Increasing transparency and streamlining decisions of the Monuments Board of the Slovak Republic,"The reform aims at improving quality and efficiency of the decision-making process of the Monuments Board of the Slovak Republic by developing three methodologies to:
-  classify the monuments endowment,
-  set objective criteria by which Monuments Board makes decisions and
-  quantify the costs associated with the interventions of the Monuments Board
In addition, the objective is to reform the mapping of state-owned monuments by assessing their basic technical aspects, construction, economic, energy-related and other aspects. The mapping shall result in adopting a diagnostics of at least 1000 relevant state-owned monuments. The reform shall facilitate investment decisions on renovation with a view to preserving the monumental value as well as improving energy efficiency, where applicable.
The implementation of the reform shall be completed by 31 December 2023.",Reform,SK-C[C2]-R[R2]-M[C2.5],Methodologies for the decision-making process of the Monuments Board of the Slovak Republic,"Development and adoption of the three methodologies to classify monument buildings in order to increase the transparency, public acceptance and speed up the decision-making processes of the Monuments Board of the Slovak Republic. Based on standardised methodologies, diagnostics of at least 1000  state-owned monuments shall be adopted by the Monuments Board to provide diagnostics of the basic technical aspects, construction, economic,  energy-related and other aspects of the relevant state-owned monuments to facilitate renovation decisions.",milestone,Grants,2023-Q4,Publication of methodologies by the Monuments Board,-,-,-,2020.CSR4; 2022.CSR3; 2023.CSR3,Fulfilled,5,07/10/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Slovakia,SK-C[C2]-R[R3],The management of construction and demolition waste,"The reform addresses the very low recycling rate of Slovakia and is centred on the revision of waste management legislation to increase the potential of the circular economy in the construction and demolition waste. The Ministry of Environment of the Slovak Republic shall table the waste legislation amendment, which shall require that at least 70% of non-hazardous construction and demolition waste generated on construction is prepared for re-use or sent for recycling. In addition, the reform shall introduce a mandatory selective demolition, quality standards for recycling from construction and demolition waste, mandatory green public procurement for the contracting of construction works, simplify the rules and improve data collection systems for construction waste. Once in force, the legislation shall ensure “do-no-significant harm” compliance with the requirement of the 70% recycling and reusing of non- hazardous demolition and construction waste to apply to renovation and construction of buildings financed under the Recovery and Resilience Facility. .
The implementation of the reform shall be completed by 30 June 2022.",Reform,SK-C[C2]-R[R3]-M[C2.8],The amendment to the Waste Act,"The revised waste legislation by the Ministry of Environment shall increase the potential of the circular economy in the construction and demolition waste and construction sector, leading to at least 70% of the non-hazardous construction and demolition waste to be recycled and reused.  It shall include mandatory green public procurement for construction investments within the state administration, increase the statutory fees for the landfilling and simplify the rules for the use of construction and demolition waste.",milestone,Grants,2022-Q2,Entry into force of  the legislative amendment to the Waste Act,-,-,-,2020.CSR3; 2023.CSR3; 2024.CSR3,Fulfilled,2,03/22/2023,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Slovakia,SK-C[C2]-I[I1],Increasing energy efficiency of family houses,"The objective of this measure is to increase the energy efficiency of family houses. This measure consists in the renovation of single family houses to achieve, on average, at least 30% primary energy savings.",Investment,SK-C[C2]-I[I1]-M[C2.2],Launch of the support schemes to mobilise energy savings and green renovation,"The schemes to mobilise energy 
savings and green renovation shall be 
designed and launched in line with the 
measures and schedule adopted by 
implementation plan. Respective calls 
shall be published by the Slovak 
Environmental Agency at a website.
The schemes shall be designed to 
incentivize on an average at least 30% 
primary energy savings and comply 
with “Do no significant harm” 
Technical Guidance (2021/C58/01) 
requirements.
A list of possible measures includes: 
insulation, replacement of windows, 
restoration of roof, rainwater retention, 
boiler replacement or removal of asbestos cover, or other measures in line with description of the investment",milestone,Grants,2022-Q3,Launch of the support schemes to mobilise energy savings and green renovation,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR3; 2023.CSR3,Fulfilled,3,12/28/2023,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Slovakia,SK-C[C2]-I[I1],Increasing energy efficiency of family houses,"The objective of this measure is to increase the energy efficiency of family houses. This measure consists in the renovation of single family houses to achieve, on average, at least 30% primary energy savings.",Investment,SK-C[C2]-I[I1]-T[C2.4],Number of renovated family houses achieving on average at least 30 % primary energy savings,"25 164 single family houses shall be renovated.  The renovated buildings shall achieve on average at least 30% primary energy savings.  

The calls shall ensure that gas boiler replacements are compliant with the DNSH requirements and account for maximum 20% of the overall renovation programmes.  

In case biomass boilers are included in the renovation scheme, the replacement of obsolete coal/oil/biomass/gas boilers by biomass boilers shall be allowed, if replaced by high-efficiency biomass boilers in one of the two highest energy efficiency classes under the energy labelling regulation fuelled by pellets. The calls shall not allow the replacement of gas boilers by biomass boilers in Air Quality zones with exceedance of PM10 limit values.",target,Grants,2026-Q2,-,Number,0,25164,2019.CSR3; 2020.CSR3; 2022.CSR3; 2023.CSR3,Not Assessed,9,-,-
Slovakia,SK-C[C2]-I[I2],Renovation of historical and listed public buildings,"The objective of this measure is to increase the energy efficiency and structural integrity of historic and listed public buildings while preserving their historical and cultural heritage and making them more  accessibile. This measure consists in the renovation of  historical and listed public buildings while achieving, on average, at least 30% of primary energy savings.",Investment,SK-C[C2]-I[I2]-T[C2.7],"Floor area of renovated public historical and listed  buildings   achieving, on average, at least 30% of primary energy savings","At least 99 348 m2 of historic and listed public buildings are renovated in compliance with the requirements of the open call, which shall define conditions to achieve on average at least 30% primary energy savings, comply with DNSH principles and shall allow the execution of other complementary measures (e.g. rainwater retention, removal of asbestos, accessibility of buildings). . Where boiler replacement is supported, it shall account for maximum 20% of the overall renovation programme.",target,Grants,2026-Q2,-,Area (m2),0,99348,2019.CSR3; 2020.CSR3; 2022.CSR3; 2023.CSR3,Not Assessed,9,-,-
Slovakia,SK-C[C3]-R[R1],Preparation of transport investment projects,"The reform aims at improving the management of investments and increasing their economic benefits. This shall be achieved through the following measures:
the establishment by 30 June 2021 of an investment plan for railway infrastructure projects prioritising projects according to their value for money;
amendments, by 31 March 2023 to the Railways Act and related legislation simplifying and streamlining the legislative and technical requirements for transport infrastructure parameters;
the publication by 31 December 2021 of a methodology determining how to identify projects with the highest value for money possible and contribute to the objective of passenger modal shift from individual road transport to cycling.
The implementation of the reform shall be completed by 31 March 2023.",Reform,SK-C[C3]-R[R1]-M[C3.1],Investment plan for railway infrastructure projects,"The Ministry of Transport and Construction, in cooperation with the Ministry of Finance, shall prepare and publish an investment plan for railway infrastructure projects containing the methodology, priorities and timetable for the construction of the infrastructure. A published investment plan for railway infrastructure projects prioritising projects according to their value for money shall ensure the long-term stability of their preparation and implementation of railway infrastructure projects.",milestone,Grants,2021-Q2,Publication of the implementation plan,-,-,-,2019.CSR3; 2020.CSR3,Fulfilled,1,07/29/2022,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
