"Country","Recipient","Identification number <br/>(for legal persons)","Associated measure(s)","Amounts (€)","Recipient List Measure Descriptions"
"Hungary","BÉKÉSCSABAI SZAKKÉPZÉSI CENTRUM","15831835-2-04","• Vocational education and training infrastructure for the 21st century","3.52E+6","The objective of the investment is to foster energy efficiency, carry out general infrastructure improvements and improve the digitalisation of vocational training centres. The improved building and digital infrastructure of vocational schools shall also create a better learning environment for students, which is expected to benefit their educational outcomes.  _x000D_
The investment shall include the energy efficiency renovation and purchase of ICT equipment for at least 16 selected vocational education and training centres. It shall also include other infrastructure improvements in these centres, such as equipping workshops, renovation of teaching areas and purchasing of learning materials, tools and furniture. The selection of centres shall be based on objective and transparent criteria, including the labour market demand in the specific economic area, the status of the infrastructure and assets of the vocational training centres, whether the centres are located in disadvantaged regions, the share of disadvantaged students, and the links and coherence with earlier programmes. The energy efficiency renovation programme shall lead to achieving on average either at least 30% primary energy savings or at least a 30% reduction of direct and indirect greenhouse gas emissions._x000D_
The implementation of the investment shall be completed by 31 March 2026."
"Hungary","BARANYA VÁRMEGYEI SZAKKÉPZÉSI CENTRUM","15832104-2-02","• Vocational education and training infrastructure for the 21st century","3.47E+6","The objective of the investment is to foster energy efficiency, carry out general infrastructure improvements and improve the digitalisation of vocational training centres. The improved building and digital infrastructure of vocational schools shall also create a better learning environment for students, which is expected to benefit their educational outcomes.  _x000D_
The investment shall include the energy efficiency renovation and purchase of ICT equipment for at least 16 selected vocational education and training centres. It shall also include other infrastructure improvements in these centres, such as equipping workshops, renovation of teaching areas and purchasing of learning materials, tools and furniture. The selection of centres shall be based on objective and transparent criteria, including the labour market demand in the specific economic area, the status of the infrastructure and assets of the vocational training centres, whether the centres are located in disadvantaged regions, the share of disadvantaged students, and the links and coherence with earlier programmes. The energy efficiency renovation programme shall lead to achieving on average either at least 30% primary energy savings or at least a 30% reduction of direct and indirect greenhouse gas emissions._x000D_
The implementation of the investment shall be completed by 31 March 2026."
"Hungary","BUDAPESTI GAZDASÁGTUDOMÁNYI EGYETEM","19308722-2-41","• Modernisation of infrastructure and digitalisation in higher education institutions","3.44E+6","The objective of the investment is to increase the attractiveness of higher education institutions and support the green and digital transition through modernised infrastructure, digitalisation and capacity development activities.  _x000D_
The investment shall consist of:_x000D_
i) energy efficiency refurbishment of higher education institutions, achieving, on average, at least 30% primary energy savings._x000D_
ii) the construction of new buildings for higher education institutions, which shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. _x000D_
iii) the purchase and installation of digital equipment in higher education institutions, such as interactive whiteboards or large touch screens, laptops, digital notebooks, PCs, multimedia studios, multimedia and/or interactive devices supporting digital teaching/learning/learning management system, ICT tools necessary for e-learning material development/structured collection, storage, classification and accessibility of content, in line with the EU's FAIR (Findable, Accessible, Interoperable, Reusable) Directive, systems used to broadcast education, communication and collaboration systems supporting digital education, multimedia storage system, online catalogue that ensures the searchability and accessibility of digital content, educational software licenses, closed system distance learning training management system and related curriculum editing system licenses, systems for cloud-based service._x000D_
iv) capacity development activities, including the organisation of trainings, conferences and skills development activities; equipping workshops and laboratories for learning purposes; the development of core facilities, skills laboratories, language courses and competence training based on the needs of the universities._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","MAGYAR TÁNCMŰVÉSZETI EGYETEM","19309242-2-42","• Modernisation of infrastructure and digitalisation in higher education institutions","3.11E+6","The objective of the investment is to increase the attractiveness of higher education institutions and support the green and digital transition through modernised infrastructure, digitalisation and capacity development activities.  _x000D_
The investment shall consist of:_x000D_
i) energy efficiency refurbishment of higher education institutions, achieving, on average, at least 30% primary energy savings._x000D_
ii) the construction of new buildings for higher education institutions, which shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. _x000D_
iii) the purchase and installation of digital equipment in higher education institutions, such as interactive whiteboards or large touch screens, laptops, digital notebooks, PCs, multimedia studios, multimedia and/or interactive devices supporting digital teaching/learning/learning management system, ICT tools necessary for e-learning material development/structured collection, storage, classification and accessibility of content, in line with the EU's FAIR (Findable, Accessible, Interoperable, Reusable) Directive, systems used to broadcast education, communication and collaboration systems supporting digital education, multimedia storage system, online catalogue that ensures the searchability and accessibility of digital content, educational software licenses, closed system distance learning training management system and related curriculum editing system licenses, systems for cloud-based service._x000D_
iv) capacity development activities, including the organisation of trainings, conferences and skills development activities; equipping workshops and laboratories for learning purposes; the development of core facilities, skills laboratories, language courses and competence training based on the needs of the universities._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","MAGYAR TESTNEVELÉSI ÉS SPORTTUDOMÁNYI EGYETEM","19308715-2-43","• Modernisation of infrastructure and digitalisation in higher education institutions","3.11E+6","The objective of the investment is to increase the attractiveness of higher education institutions and support the green and digital transition through modernised infrastructure, digitalisation and capacity development activities.  _x000D_
The investment shall consist of:_x000D_
i) energy efficiency refurbishment of higher education institutions, achieving, on average, at least 30% primary energy savings._x000D_
ii) the construction of new buildings for higher education institutions, which shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. _x000D_
iii) the purchase and installation of digital equipment in higher education institutions, such as interactive whiteboards or large touch screens, laptops, digital notebooks, PCs, multimedia studios, multimedia and/or interactive devices supporting digital teaching/learning/learning management system, ICT tools necessary for e-learning material development/structured collection, storage, classification and accessibility of content, in line with the EU's FAIR (Findable, Accessible, Interoperable, Reusable) Directive, systems used to broadcast education, communication and collaboration systems supporting digital education, multimedia storage system, online catalogue that ensures the searchability and accessibility of digital content, educational software licenses, closed system distance learning training management system and related curriculum editing system licenses, systems for cloud-based service._x000D_
iv) capacity development activities, including the organisation of trainings, conferences and skills development activities; equipping workshops and laboratories for learning purposes; the development of core facilities, skills laboratories, language courses and competence training based on the needs of the universities._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","NEMZETI ADATVAGYON ÜGYNÖKSÉG KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG","27432426-2-42","• Support to the data-based decision-making and legislative process with a view to increasing efficiency  transparency and reducing risks of irregularities","2.86E+6","The objective of this reform is to improve the visualisation and explanation of the effects of legislation to the public in a transparent and objective manner. _x000D_
For that purpose, a data platform and a data modelling tool shall be set up to ensure the connection of databases – in full compliance with data protection rules – and develop the capacities for data modelling based on these data. In addition, at least 200 persons from the staff of line ministries, government institutions and representatives of social partners involved in strategic planning and legislative preparatory work shall complete a training course on data visualisation tools and practices._x000D_
The data platform and data modelling tool shall be set up by Q2 2024, while the training shall take place by Q1 2025._x000D_
The implementation of the reform shall be completed by Q1 2025."
"Hungary","NYÍREGYHÁZI EGYHÁZMEGYE","18647086-1-15","• Creation of new crèche places","2.79E+6","The objective of the investment is to increase the availability of early childhood education services by creating new crèche places. This measure is expected to contribute to higher employment rates among parents, notably women, thus contributing to gender equality and social inclusion. The measure is underpinned by a recent survey showing a demand for 12 000 crèche places in addition to both the existing ones and those that are currently under preparation._x000D_
Under this measure, at least 3 984 new crèche places across Hungary shall be created in entirely new buildings or by extending existing ones. The investment shall also include auxiliary equipment and infrastructure such as classroom equipment, furniture, playground and bike parking. The construction of new buildings shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. As a result of the investment, at least 3 984 children shall be enrolled in the new places._x000D_
The implementation of the investment shall be completed by 31 December 2025."
"Hungary","TISZÁNTÚLI REFORMÁTUS EGYHÁZKERÜLET","19876182-4-09","• Creation of new crèche places","2.78E+6","The objective of the investment is to increase the availability of early childhood education services by creating new crèche places. This measure is expected to contribute to higher employment rates among parents, notably women, thus contributing to gender equality and social inclusion. The measure is underpinned by a recent survey showing a demand for 12 000 crèche places in addition to both the existing ones and those that are currently under preparation._x000D_
Under this measure, at least 3 984 new crèche places across Hungary shall be created in entirely new buildings or by extending existing ones. The investment shall also include auxiliary equipment and infrastructure such as classroom equipment, furniture, playground and bike parking. The construction of new buildings shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. As a result of the investment, at least 3 984 children shall be enrolled in the new places._x000D_
The implementation of the investment shall be completed by 31 December 2025."
"Hungary","DUNAÚJVÁROSI EGYETEM","19308746-2-07","• Modernisation of infrastructure and digitalisation in higher education institutions","2.59E+6","The objective of the investment is to increase the attractiveness of higher education institutions and support the green and digital transition through modernised infrastructure, digitalisation and capacity development activities.  _x000D_
The investment shall consist of:_x000D_
i) energy efficiency refurbishment of higher education institutions, achieving, on average, at least 30% primary energy savings._x000D_
ii) the construction of new buildings for higher education institutions, which shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. _x000D_
iii) the purchase and installation of digital equipment in higher education institutions, such as interactive whiteboards or large touch screens, laptops, digital notebooks, PCs, multimedia studios, multimedia and/or interactive devices supporting digital teaching/learning/learning management system, ICT tools necessary for e-learning material development/structured collection, storage, classification and accessibility of content, in line with the EU's FAIR (Findable, Accessible, Interoperable, Reusable) Directive, systems used to broadcast education, communication and collaboration systems supporting digital education, multimedia storage system, online catalogue that ensures the searchability and accessibility of digital content, educational software licenses, closed system distance learning training management system and related curriculum editing system licenses, systems for cloud-based service._x000D_
iv) capacity development activities, including the organisation of trainings, conferences and skills development activities; equipping workshops and laboratories for learning purposes; the development of core facilities, skills laboratories, language courses and competence training based on the needs of the universities._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","SZÍNHÁZ- ÉS FILMMŰVÉSZETI EGYETEM","19271295-2-42","• Modernisation of infrastructure and digitalisation in higher education institutions","2.59E+6","The objective of the investment is to increase the attractiveness of higher education institutions and support the green and digital transition through modernised infrastructure, digitalisation and capacity development activities.  _x000D_
The investment shall consist of:_x000D_
i) energy efficiency refurbishment of higher education institutions, achieving, on average, at least 30% primary energy savings._x000D_
ii) the construction of new buildings for higher education institutions, which shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. _x000D_
iii) the purchase and installation of digital equipment in higher education institutions, such as interactive whiteboards or large touch screens, laptops, digital notebooks, PCs, multimedia studios, multimedia and/or interactive devices supporting digital teaching/learning/learning management system, ICT tools necessary for e-learning material development/structured collection, storage, classification and accessibility of content, in line with the EU's FAIR (Findable, Accessible, Interoperable, Reusable) Directive, systems used to broadcast education, communication and collaboration systems supporting digital education, multimedia storage system, online catalogue that ensures the searchability and accessibility of digital content, educational software licenses, closed system distance learning training management system and related curriculum editing system licenses, systems for cloud-based service._x000D_
iv) capacity development activities, including the organisation of trainings, conferences and skills development activities; equipping workshops and laboratories for learning purposes; the development of core facilities, skills laboratories, language courses and competence training based on the needs of the universities._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","NEUMANN JÁNOS EGYETEM *","19253103-2-03","• Modernisation of infrastructure and digitalisation in higher education institutions","2.59E+6","The objective of the investment is to increase the attractiveness of higher education institutions and support the green and digital transition through modernised infrastructure, digitalisation and capacity development activities.  _x000D_
The investment shall consist of:_x000D_
i) energy efficiency refurbishment of higher education institutions, achieving, on average, at least 30% primary energy savings._x000D_
ii) the construction of new buildings for higher education institutions, which shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. _x000D_
iii) the purchase and installation of digital equipment in higher education institutions, such as interactive whiteboards or large touch screens, laptops, digital notebooks, PCs, multimedia studios, multimedia and/or interactive devices supporting digital teaching/learning/learning management system, ICT tools necessary for e-learning material development/structured collection, storage, classification and accessibility of content, in line with the EU's FAIR (Findable, Accessible, Interoperable, Reusable) Directive, systems used to broadcast education, communication and collaboration systems supporting digital education, multimedia storage system, online catalogue that ensures the searchability and accessibility of digital content, educational software licenses, closed system distance learning training management system and related curriculum editing system licenses, systems for cloud-based service._x000D_
iv) capacity development activities, including the organisation of trainings, conferences and skills development activities; equipping workshops and laboratories for learning purposes; the development of core facilities, skills laboratories, language courses and competence training based on the needs of the universities._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","TOKAJ-HEGYALJA EGYETEM","19308832-4-05","• Modernisation of infrastructure and digitalisation in higher education institutions","2.59E+6","The objective of the investment is to increase the attractiveness of higher education institutions and support the green and digital transition through modernised infrastructure, digitalisation and capacity development activities.  _x000D_
The investment shall consist of:_x000D_
i) energy efficiency refurbishment of higher education institutions, achieving, on average, at least 30% primary energy savings._x000D_
ii) the construction of new buildings for higher education institutions, which shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. _x000D_
iii) the purchase and installation of digital equipment in higher education institutions, such as interactive whiteboards or large touch screens, laptops, digital notebooks, PCs, multimedia studios, multimedia and/or interactive devices supporting digital teaching/learning/learning management system, ICT tools necessary for e-learning material development/structured collection, storage, classification and accessibility of content, in line with the EU's FAIR (Findable, Accessible, Interoperable, Reusable) Directive, systems used to broadcast education, communication and collaboration systems supporting digital education, multimedia storage system, online catalogue that ensures the searchability and accessibility of digital content, educational software licenses, closed system distance learning training management system and related curriculum editing system licenses, systems for cloud-based service._x000D_
iv) capacity development activities, including the organisation of trainings, conferences and skills development activities; equipping workshops and laboratories for learning purposes; the development of core facilities, skills laboratories, language courses and competence training based on the needs of the universities._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","LISZT FERENC ZENEMŰVÉSZETI EGYETEM","15308957-2-42","• Modernisation of infrastructure and digitalisation in higher education institutions","2.59E+6","The objective of the investment is to increase the attractiveness of higher education institutions and support the green and digital transition through modernised infrastructure, digitalisation and capacity development activities.  _x000D_
The investment shall consist of:_x000D_
i) energy efficiency refurbishment of higher education institutions, achieving, on average, at least 30% primary energy savings._x000D_
ii) the construction of new buildings for higher education institutions, which shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. _x000D_
iii) the purchase and installation of digital equipment in higher education institutions, such as interactive whiteboards or large touch screens, laptops, digital notebooks, PCs, multimedia studios, multimedia and/or interactive devices supporting digital teaching/learning/learning management system, ICT tools necessary for e-learning material development/structured collection, storage, classification and accessibility of content, in line with the EU's FAIR (Findable, Accessible, Interoperable, Reusable) Directive, systems used to broadcast education, communication and collaboration systems supporting digital education, multimedia storage system, online catalogue that ensures the searchability and accessibility of digital content, educational software licenses, closed system distance learning training management system and related curriculum editing system licenses, systems for cloud-based service._x000D_
iv) capacity development activities, including the organisation of trainings, conferences and skills development activities; equipping workshops and laboratories for learning purposes; the development of core facilities, skills laboratories, language courses and competence training based on the needs of the universities._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","GÁL FERENC EGYETEM","18467303-2-06","• Modernisation of infrastructure and digitalisation in higher education institutions","2.59E+6","The objective of the investment is to increase the attractiveness of higher education institutions and support the green and digital transition through modernised infrastructure, digitalisation and capacity development activities.  _x000D_
The investment shall consist of:_x000D_
i) energy efficiency refurbishment of higher education institutions, achieving, on average, at least 30% primary energy savings._x000D_
ii) the construction of new buildings for higher education institutions, which shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. _x000D_
iii) the purchase and installation of digital equipment in higher education institutions, such as interactive whiteboards or large touch screens, laptops, digital notebooks, PCs, multimedia studios, multimedia and/or interactive devices supporting digital teaching/learning/learning management system, ICT tools necessary for e-learning material development/structured collection, storage, classification and accessibility of content, in line with the EU's FAIR (Findable, Accessible, Interoperable, Reusable) Directive, systems used to broadcast education, communication and collaboration systems supporting digital education, multimedia storage system, online catalogue that ensures the searchability and accessibility of digital content, educational software licenses, closed system distance learning training management system and related curriculum editing system licenses, systems for cloud-based service._x000D_
iv) capacity development activities, including the organisation of trainings, conferences and skills development activities; equipping workshops and laboratories for learning purposes; the development of core facilities, skills laboratories, language courses and competence training based on the needs of the universities._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","DEBRECEN MEGYEI JOGÚ VÁROS ÖNKORMÁNYZATA","15735588-2-09","• Creation of new crèche places","2.51E+6","The objective of the investment is to increase the availability of early childhood education services by creating new crèche places. This measure is expected to contribute to higher employment rates among parents, notably women, thus contributing to gender equality and social inclusion. The measure is underpinned by a recent survey showing a demand for 12 000 crèche places in addition to both the existing ones and those that are currently under preparation._x000D_
Under this measure, at least 3 984 new crèche places across Hungary shall be created in entirely new buildings or by extending existing ones. The investment shall also include auxiliary equipment and infrastructure such as classroom equipment, furniture, playground and bike parking. The construction of new buildings shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. As a result of the investment, at least 3 984 children shall be enrolled in the new places._x000D_
The implementation of the investment shall be completed by 31 December 2025."
"Hungary","ALTEO-DEPÓNIA KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG","14492664-4-43","• Installation of grid energy storage facilities for energy market participants","2.27E+6","The objective of this investment is to provide market participants already present or wishing to enter the balancing market (e.g. aggregators, electricity producers and large industrial consumers) with access to technologies that provide a pollution-free flexibility service. _x000D_
This measure shall support market participants to install grid energy storage facilities. _x000D_
Recipients shall be selected through an open call for proposal. In the selection process, project proposals to be implemented with different technologies shall be scored and selected on the basis of a cost-benefit analysis, thus ensuring a technology-neutral selection process with a focus on total cost-effectiveness. Recipients shall be required to introduce all or part of the capacity stemming from the subsidised electricity storage facility into the balancing market. _x000D_
The total capacity of the electricity storage installed as part of the balancing market as a result of this investment shall be at least 885 MWh._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","NYÍREGYHÁZI EGYETEM","19308708-4-15","• Modernisation of infrastructure and digitalisation in higher education institutions","2.06E+6","The objective of the investment is to increase the attractiveness of higher education institutions and support the green and digital transition through modernised infrastructure, digitalisation and capacity development activities.  _x000D_
The investment shall consist of:_x000D_
i) energy efficiency refurbishment of higher education institutions, achieving, on average, at least 30% primary energy savings._x000D_
ii) the construction of new buildings for higher education institutions, which shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. _x000D_
iii) the purchase and installation of digital equipment in higher education institutions, such as interactive whiteboards or large touch screens, laptops, digital notebooks, PCs, multimedia studios, multimedia and/or interactive devices supporting digital teaching/learning/learning management system, ICT tools necessary for e-learning material development/structured collection, storage, classification and accessibility of content, in line with the EU's FAIR (Findable, Accessible, Interoperable, Reusable) Directive, systems used to broadcast education, communication and collaboration systems supporting digital education, multimedia storage system, online catalogue that ensures the searchability and accessibility of digital content, educational software licenses, closed system distance learning training management system and related curriculum editing system licenses, systems for cloud-based service._x000D_
iv) capacity development activities, including the organisation of trainings, conferences and skills development activities; equipping workshops and laboratories for learning purposes; the development of core facilities, skills laboratories, language courses and competence training based on the needs of the universities._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","MAGYAR FELSŐOKTATÁSI AKKREDITÁCIÓS BIZOTTSÁG","18190247-2-41","• Modernisation of higher education courses","2.05E+6","The objective of the reform is to modernise higher education by including more practice-oriented elements in the training requirements. It focuses on establishing training and infrastructural cooperation with vocational training and innovation institutions in certain areas, and on strengthening the system of higher education upskilling and retraining, in line with labour market requirements. _x000D_
As part of the measure, several regulations shall be reviewed and modified, including on intellectual property management and on operating rules of examination centres in the Vocational Training Act, on determining the performance of examination tasks by the examination centres, on in-service teacher training, and on digital (e-learning, distance learning, blended type) trainings covering adult training and adult education. The modernisation of the study fields and the revision of the legislation shall take into account the labour market needs related to green and digital skills. The reform shall result in the modernisation of 15 higher education study fields such as law and public administration, economics, medical and health sciences, agriculture, art and natural sciences. The reform shall be based on a report identifying the regulations that would be reviewed for the higher education study fields. Such report shall be prepared jointly by the Hungarian Accreditation Committee, the Hungarian Rectors’ Conference and the Educational Authority, involving as appropriate the higher education institutions. The features of the modernised training structure shall be disseminated among stakeholders and target groups as a part of the reform. _x000D_
The implementation of the reform shall be completed by 31 December 2023."
"Hungary","BUDAFOK-TÉTÉNY BUDAPEST XXII. KERÜLETI ÖNKORMÁNYZATA","15735856-2-43","• Creation of new crèche places","2.05E+6","The objective of the investment is to increase the availability of early childhood education services by creating new crèche places. This measure is expected to contribute to higher employment rates among parents, notably women, thus contributing to gender equality and social inclusion. The measure is underpinned by a recent survey showing a demand for 12 000 crèche places in addition to both the existing ones and those that are currently under preparation._x000D_
Under this measure, at least 3 984 new crèche places across Hungary shall be created in entirely new buildings or by extending existing ones. The investment shall also include auxiliary equipment and infrastructure such as classroom equipment, furniture, playground and bike parking. The construction of new buildings shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. As a result of the investment, at least 3 984 children shall be enrolled in the new places._x000D_
The implementation of the investment shall be completed by 31 December 2025."
"Hungary","BUJ ENERGY STORAGE KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG","32343016-2-41","• Installation of grid energy storage facilities for energy market participants","1.91E+6","The objective of this investment is to provide market participants already present or wishing to enter the balancing market (e.g. aggregators, electricity producers and large industrial consumers) with access to technologies that provide a pollution-free flexibility service. _x000D_
This measure shall support market participants to install grid energy storage facilities. _x000D_
Recipients shall be selected through an open call for proposal. In the selection process, project proposals to be implemented with different technologies shall be scored and selected on the basis of a cost-benefit analysis, thus ensuring a technology-neutral selection process with a focus on total cost-effectiveness. Recipients shall be required to introduce all or part of the capacity stemming from the subsidised electricity storage facility into the balancing market. _x000D_
The total capacity of the electricity storage installed as part of the balancing market as a result of this investment shall be at least 885 MWh._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","BUJ BATTERY KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG","27517176-2-41","• Installation of grid energy storage facilities for energy market participants","1.91E+6","The objective of this investment is to provide market participants already present or wishing to enter the balancing market (e.g. aggregators, electricity producers and large industrial consumers) with access to technologies that provide a pollution-free flexibility service. _x000D_
This measure shall support market participants to install grid energy storage facilities. _x000D_
Recipients shall be selected through an open call for proposal. In the selection process, project proposals to be implemented with different technologies shall be scored and selected on the basis of a cost-benefit analysis, thus ensuring a technology-neutral selection process with a focus on total cost-effectiveness. Recipients shall be required to introduce all or part of the capacity stemming from the subsidised electricity storage facility into the balancing market. _x000D_
The total capacity of the electricity storage installed as part of the balancing market as a result of this investment shall be at least 885 MWh._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","MAGYAR KÉPZŐMŰVÉSZETI EGYETEM","15308940-2-42","• Modernisation of infrastructure and digitalisation in higher education institutions","1.81E+6","The objective of the investment is to increase the attractiveness of higher education institutions and support the green and digital transition through modernised infrastructure, digitalisation and capacity development activities.  _x000D_
The investment shall consist of:_x000D_
i) energy efficiency refurbishment of higher education institutions, achieving, on average, at least 30% primary energy savings._x000D_
ii) the construction of new buildings for higher education institutions, which shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. _x000D_
iii) the purchase and installation of digital equipment in higher education institutions, such as interactive whiteboards or large touch screens, laptops, digital notebooks, PCs, multimedia studios, multimedia and/or interactive devices supporting digital teaching/learning/learning management system, ICT tools necessary for e-learning material development/structured collection, storage, classification and accessibility of content, in line with the EU's FAIR (Findable, Accessible, Interoperable, Reusable) Directive, systems used to broadcast education, communication and collaboration systems supporting digital education, multimedia storage system, online catalogue that ensures the searchability and accessibility of digital content, educational software licenses, closed system distance learning training management system and related curriculum editing system licenses, systems for cloud-based service._x000D_
iv) capacity development activities, including the organisation of trainings, conferences and skills development activities; equipping workshops and laboratories for learning purposes; the development of core facilities, skills laboratories, language courses and competence training based on the needs of the universities._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","DEBRECEN-TÉGLÁSKERTI REFORMÁTUS MISSZIÓI EGYHÁZKÖZSÉG","18990645-1-09","• Creation of new crèche places","1.69E+6","The objective of the investment is to increase the availability of early childhood education services by creating new crèche places. This measure is expected to contribute to higher employment rates among parents, notably women, thus contributing to gender equality and social inclusion. The measure is underpinned by a recent survey showing a demand for 12 000 crèche places in addition to both the existing ones and those that are currently under preparation._x000D_
Under this measure, at least 3 984 new crèche places across Hungary shall be created in entirely new buildings or by extending existing ones. The investment shall also include auxiliary equipment and infrastructure such as classroom equipment, furniture, playground and bike parking. The construction of new buildings shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. As a result of the investment, at least 3 984 children shall be enrolled in the new places._x000D_
The implementation of the investment shall be completed by 31 December 2025."
"Hungary","HUN-REN AGRÁRTUDOMÁNYI KUTATÓKÖZPONT","15300519-2-07","• Establishment of national research and development laboratories","1.64E+6","The objective of the investment is to establish additional national research and development laboratories in order to strengthen the innovation ecosystem in the country. These national laboratories are formalised research consortia, including universities, research institutes and other public actors (such as the National Food Chain Safety Office and the Hungarian Meteorological Service), which shall be set up with the aim of conducting research and publishing studies in relevant research areas. _x000D_
The measure consists in the setting up of national laboratories, which shall include research grants, purchase of equipment and infrastructural development. The national laboratories shall cover relevant research areas for the green/digital transition and socio-economic challenges of Hungary and shall be organised in the thematic areas of safe society and environment; health; industry and digitalisation. These thematic areas shall include topics such as renewable energy, data-driven health, pharmaceutical research and development, water security, artificial intelligence and autonomous systems. The research projects of the laboratories and their related contracts (including labour contracts for researchers and other staff involved) shall have a fixed term, which shall not go beyond 30 June 2026._x000D_
The measure includes the publication of a report on the performance of these national laboratories, prepared by the National Research, Development and Innovation Agency. The report shall include information about (i) the activities and outcomes of the laboratories in the field of research in which they were active, including the global challenge they addressed at national level, (ii) the composition of consortia (public and private partners), and (iii) how these national laboratories contributed to strengthening the Hungarian innovation ecosystem._x000D_
The implementation of the investment shall be completed by 30 June 2026."
"Hungary","BÁCSALMÁS VÁROS ÖNKORMÁNYZATA","15724320-2-03","• Creation of new crèche places","1.61E+6","The objective of the investment is to increase the availability of early childhood education services by creating new crèche places. This measure is expected to contribute to higher employment rates among parents, notably women, thus contributing to gender equality and social inclusion. The measure is underpinned by a recent survey showing a demand for 12 000 crèche places in addition to both the existing ones and those that are currently under preparation._x000D_
Under this measure, at least 3 984 new crèche places across Hungary shall be created in entirely new buildings or by extending existing ones. The investment shall also include auxiliary equipment and infrastructure such as classroom equipment, furniture, playground and bike parking. The construction of new buildings shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. As a result of the investment, at least 3 984 children shall be enrolled in the new places._x000D_
The implementation of the investment shall be completed by 31 December 2025."
"Hungary","DEBRECEN-NAGYSÁNDOR-TELEPI REFORMÁTUS MISSZIÓI EGYHÁZKÖZSÉG","19851323-1-09","• Creation of new crèche places","1.61E+6","The objective of the investment is to increase the availability of early childhood education services by creating new crèche places. This measure is expected to contribute to higher employment rates among parents, notably women, thus contributing to gender equality and social inclusion. The measure is underpinned by a recent survey showing a demand for 12 000 crèche places in addition to both the existing ones and those that are currently under preparation._x000D_
Under this measure, at least 3 984 new crèche places across Hungary shall be created in entirely new buildings or by extending existing ones. The investment shall also include auxiliary equipment and infrastructure such as classroom equipment, furniture, playground and bike parking. The construction of new buildings shall have a primary energy demand at least 20% below the nearly zero-energy buildings requirement. As a result of the investment, at least 3 984 children shall be enrolled in the new places._x000D_
The implementation of the investment shall be completed by 31 December 2025."
